"","time","variable","value"
"192",2010-06-01,"deficit",0.911341196292052
"193",2010-09-01,"deficit",0.755106258548926
"194",2010-12-01,"deficit",0.63348472547419
"195",2011-03-01,"deficit",0.479328420871518
"196",2011-06-01,"deficit",0.621366268903453
"197",2011-09-01,"deficit",0.558888404189313
"198",2011-12-01,"deficit",0.466411792657291
"199",2012-03-01,"deficit",0.200274489340886
"200",2012-06-01,"deficit",0.242949944400241
"201",2012-09-01,"deficit",0.341498296978541
"202",2012-12-01,"deficit",0.0970233014732994
"203",2013-03-01,"deficit",0.0342963039661379
"204",2013-06-01,"deficit",0.0297864222388289
